,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Total_income,Age,Years_employed
0,1,1,1,1,0,0,0,0,2,427500.0,32.86857361889703,12.4355736257418
1,1,1,1,0,0,0,0,0,2,112500.0,58.79381506807121,3.104786545924968
2,0,0,1,0,1,1,0,0,1,270000.0,52.32140290355038,8.353354278321937
3,0,0,1,0,0,0,1,0,1,283500.0,61.50434300498984,0.0
4,1,1,1,1,1,1,0,0,2,270000.0,46.1939670219101,2.1054504883741623
5,1,1,1,0,0,0,0,0,2,135000.0,48.67451077024169,3.269060966344278
6,0,1,0,0,0,0,0,0,2,130500.0,29.210729857560388,3.019911428708324
7,0,0,1,0,1,0,0,0,2,157500.0,27.46394518710172,4.021985393266117
8,0,0,1,0,0,0,0,1,2,112500.0,30.02936405264995,4.435409351321383
9,1,1,1,0,0,0,0,3,5,270000.0,34.74130201167717,3.1841858491276342
10,1,0,1,0,0,0,0,1,3,405000.0,32.42229477675791,5.519620526088831
11,1,1,1,0,1,0,0,0,2,112500.0,56.13256945727839,12.183686181098858
12,0,1,1,0,0,0,0,2,4,135000.0,43.15215233714587,8.687378933174534
13,0,0,1,0,0,0,0,1,3,211500.0,44.38694839729769,19.436401842611414
14,1,1,1,0,1,0,0,0,2,360000.0,45.64090980649842,14.686133185486357
15,0,0,1,0,0,1,0,2,4,126000.0,33.98016386373437,4.854309123390624
16,0,0,1,0,0,0,1,0,1,315000.0,55.26739084307001,0.0
17,0,0,1,0,0,0,0,0,1,247500.0,46.58822563091645,3.68796073841352
18,0,0,1,0,0,0,0,0,1,297000.0,42.48957884145465,8.854391260600833
19,0,0,0,0,1,0,0,0,2,157500.0,37.35052738933722,13.267897355866308
20,1,0,1,1,1,0,0,0,2,135000.0,42.39375209621005,3.854973065839818
21,1,0,1,0,0,0,0,1,3,225000.0,28.257938219128388,7.688042875623729
22,0,1,1,0,0,0,0,0,2,135000.0,48.69367611929061,4.687296795964325
23,1,0,1,0,1,0,0,0,2,157500.0,43.88043560100481,2.433999329212784
24,0,0,1,0,0,0,1,0,2,112500.0,61.1073464889765,0.0
25,1,1,1,0,1,0,0,0,2,112500.0,57.1510708638781,6.518956583639636
26,0,1,1,1,1,0,0,0,1,270000.0,45.39997398988344,3.269060966344278
27,0,1,1,0,0,1,0,0,2,270000.0,29.09847567027386,2.266987001786484
28,1,1,1,0,0,0,0,0,2,157500.0,27.179202858374914,2.266987001786484
29,1,0,1,1,1,0,0,0,2,166500.0,51.81762801426449,17.183104375859873
30,0,0,1,0,0,1,0,2,4,216000.0,42.28423581593051,8.520366605748235
31,0,1,1,0,0,1,0,0,2,270000.0,54.37757106579875,29.687125676776382
32,0,1,1,0,0,0,0,0,2,225000.0,39.56275625098394,7.603167758407086
33,0,0,1,0,0,0,0,0,1,315000.0,28.89587055175671,3.269060966344278
34,0,0,0,0,0,0,1,0,2,255150.0,51.149578704559296,0.0
35,0,0,1,0,0,0,0,2,3,157500.0,39.22325578211736,1.5195383888786218
36,0,0,1,0,0,0,0,0,2,148500.0,48.299417510284265,2.433999329212784
37,0,0,1,0,0,1,0,2,4,202500.0,30.108763355852616,6.2670691389966935
38,1,0,1,1,0,0,0,0,1,202500.0,24.26059398892517,2.433999329212784
39,0,1,1,0,1,1,0,0,1,112500.0,20.504185575336933,2.1821118845698404
40,0,0,1,0,1,0,1,0,2,94500.0,61.14020137306037,0.0
41,1,1,1,0,0,0,0,0,2,315000.0,28.611128223029905,5.68663285351513
42,0,1,1,0,1,1,0,0,2,270000.0,28.10187751973004,8.687378933174534
43,0,1,1,0,1,1,0,1,3,450000.0,48.532139605878285,1.938438160947864
44,1,0,1,0,0,0,0,1,3,180000.0,38.6647227526917,3.520948410987221
45,0,0,1,0,0,1,0,0,2,112500.0,27.554296118332346,8.687378933174534
46,1,0,1,0,0,0,0,0,2,90000.0,56.21196876048105,15.688207150044148
47,1,1,0,0,0,0,0,2,4,202500.0,40.32937021294072,8.18360404388865
48,1,1,1,0,0,0,0,0,2,247500.0,34.57428968425087,11.020075703128745
49,1,1,1,1,0,0,0,1,3,765000.0,33.394251764238824,3.269060966344278
50,0,0,1,0,0,1,0,1,3,270000.0,37.451829948595794,12.022149667686536
51,0,0,1,0,0,0,0,0,1,315000.0,36.33476388974449,1.5195383888786218
52,1,1,1,0,1,0,0,2,4,157500.0,35.20674620286522,11.104950820345389
53,1,0,1,0,0,0,0,0,2,360000.0,41.94747325407092,7.52103054819743
54,0,0,1,0,0,1,0,0,2,112500.0,24.208573755792383,0.8542269861804144
55,0,0,0,0,0,0,0,0,1,157500.0,43.08644256897814,1.1827758270190354
56,1,0,1,0,0,0,1,0,1,382500.0,59.33865856246192,0.0
57,0,0,0,1,1,0,0,0,2,135000.0,26.439967966488016,4.271134930902072
58,1,1,0,0,0,0,1,0,2,225000.0,50.073581250812815,0.0
59,1,1,0,1,1,0,0,0,2,315000.0,43.327378385593136,10.185014065997247
60,0,0,0,0,0,0,0,0,2,180000.0,53.59452966180004,7.942668227273661
61,0,0,0,0,1,0,0,0,2,157500.0,35.360068995256576,8.690116840181522
62,0,1,0,0,1,1,1,0,2,144000.0,62.63509859887609,0.0
63,1,1,0,0,0,0,0,0,2,229500.0,50.1721459030644,3.438811200777565
64,0,0,0,1,1,0,0,0,2,270000.0,48.11323983380905,15.857957384477436
65,0,0,0,1,1,0,0,0,2,292500.0,57.3673655174302,23.7759844486882
66,0,0,0,1,1,0,0,0,2,270000.0,33.76660711718927,2.3546000260101163
67,0,1,0,1,0,0,0,0,2,225000.0,40.15688207150044,2.184849791576829
68,1,1,0,0,1,0,0,0,2,157500.0,29.05193125115505,2.6886246808627146
69,0,0,0,0,1,0,0,0,1,74250.0,52.2447415073547,14.354846437640743
70,0,0,0,0,1,0,0,0,2,135000.0,38.8810174062438,5.8563830879484176
71,1,1,0,1,0,0,0,1,3,135000.0,27.26134006858457,2.5216123534364154
72,0,0,0,0,0,0,0,0,1,144000.0,43.72437490160647,24.60557027180572
73,0,0,0,0,1,0,0,0,2,202500.0,39.869401835766645,3.5236863179942093
74,0,0,0,0,0,0,1,0,1,40500.0,57.74519668439461,0.0
